id,wid,title,appeal
0d9706cc-9142-11e8-bfce-784f4355e448,60,canon-foundation.jp,6
10822d34-9142-11e8-952e-784f4355e448,82,ubejinja.or.jp,6
137f6e00-9142-11e8-a09e-784f4355e448,26,bootcdn.cn,7
167ce928-9142-11e8-a1b3-784f4355e448,97,klex.ru,3
19907f5a-9142-11e8-9552-784f4355e448,48,yatani.jp,6
1ca6259e-9142-11e8-8737-784f4355e448,78,tech-jp.co.jp,6
1fa53ad4-9142-11e8-9985-784f4355e448,5,disney.co.jp,7
22fb588a-9142-11e8-b65e-784f4355e448,46,yinwang.org,6
26208758-9142-11e8-b2b5-784f4355e448,35,ho-ginza.com,8
29d669b0-9142-11e8-93e2-784f4355e448,62,interaction-design.org,7
2de040ee-9142-11e8-8ed5-784f4355e448,66,sdtech.co.jp,6
3172c5e2-9142-11e8-8292-784f4355e448,95,chi2019.acm.org,7
34bcdc7e-9142-11e8-9fff-784f4355e448,75,capcom.co.jp,3
37f84cde-9142-11e8-9130-784f4355e448,22,jcodecraeer.com,4
3b32ddf6-9142-11e8-943f-784f4355e448,72,cerezo.jp,3
3e723930-9142-11e8-aabf-784f4355e448,81,techplay.jp,5
42071214-9142-11e8-9a19-784f4355e448,3,segmentfault.com,5
44dec1da-9142-11e8-99ab-784f4355e448,45,hexo.io,7
480b50a8-9142-11e8-ac2f-784f4355e448,80,hasegawa-heart.com,3
4ade37e6-9142-11e8-972c-784f4355e448,96,swellnet.com,6
4dd40306-9142-11e8-80ba-784f4355e448,24,jiqimao.tv,4
51147986-9142-11e8-82de-784f4355e448,31,kameisyouten.ocnk.net,3
54886cd0-9142-11e8-9e94-784f4355e448,20,goofy.photo,8
574a1dc6-9142-11e8-bcb2-784f4355e448,36,pandayori.com,8
5a2c9628-9142-11e8-8ec8-784f4355e448,14,microsoft.com,8
5d4e96a8-9142-11e8-b9eb-784f4355e448,9,fangdd.com,4
6046e206-9142-11e8-a881-784f4355e448,73,tech.nikkeibp.co.jp,4
6338299e-9142-11e8-90b9-784f4355e448,68,gmo.jp,4
66c94202-9142-11e8-bbc2-784f4355e448,34,aladdin-aic.com,6
69c082b8-9142-11e8-8edc-784f4355e448,25,clamav.net,7
6cfda118-9142-11e8-8a35-784f4355e448,18,richyli.com,3
6fe72868-9142-11e8-ae0c-784f4355e448,13,superprof.fr,8
72cc4cf4-9142-11e8-9632-784f4355e448,64,blog.sciencenet.cn,2
75c97e86-9142-11e8-9ec0-784f4355e448,63,jlpt.jp,3
78c2172c-9142-11e8-8a1a-784f4355e448,19,pxtoem.com,5
7ba0cce2-9142-11e8-8ebd-784f4355e448,54,stratechery.com,8
7ef9c374-9142-11e8-a6eb-784f4355e448,98,kudago.com,6
